benutzer_id,recht_id,freigabe,script
FICom                                   ,AGEDIT                                  ,L,
FICom                                   ,AGTYPEDIT                               ,L,
FICom                                   ,ANW                                     ,L,
FICom                                   ,APEDIT                                  ,V,
FICom                                   ,APS                                     ,K,
FICom                                   ,APSP                                    ,K,
FICom                                   ,ARTAPL                                  ,L,
FICom                                   ,ARTEDIT                                 ,L,
FICom                                   ,ARTSTL                                  ,L,
FICom                                   ,BAB                                     ,L,
FICom                                   ,BATCHKALK                               ,V,
FICom                                   ,BATCHKALKSTART                          ,V,
FICom                                   ,BATCHNKALK                              ,V,
FICom                                   ,BENUTZER                                ,K,
FICom                                   ,benzing                                 ,L,
FICom                                   ,benzinglog                              ,L,
FICom                                   ,BINBOOKING                              ,L,
FICom                                   ,BINRIGHT                                ,L,
FICom                                   ,CAFT                                    ,L,
FICom                                   ,CUSTFEDIT                               ,K,
FICom                                   ,DBTEST                                  ,L,
FICom                                   ,EFUNK                                   ,L,
FICom                                   ,FAABG                                   ,L,
FICom                                   ,FAANSICHT                               ,L,
FICom                                   ,FAAPL                                   ,L,
FICom                                   ,FAEDIT                                  ,L,
FICom                                   ,FARUECK                                 ,K,
FICom                                   ,FASTL                                   ,L,
FICom                                   ,FAUSSCHUSS                              ,L,
FICom                                   ,FAVERWALTEN                             ,V,
FICom                                   ,FAWECHSEL                               ,L,
FICom                                   ,FBESTV                                  ,K,
FICom                                   ,FCTYP                                   ,V,
FICom                                   ,FLISTE                                  ,L,
FICom                                   ,FMILESTONE                              ,L,
FICom                                   ,FNAKA                                   ,V,
FICom                                   ,FPOOL                                   ,L,
FICom                                   ,FPRIOR                                  ,L,
FICom                                   ,FRAUSB                                  ,L,
FICom                                   ,FRBEIST                                 ,L,
FICom                                   ,FRBEST                                  ,L,
FICom                                   ,FRWRG                                   ,L,
FICom                                   ,FSCHICHTPLAN                            ,L,
FICom                                   ,FSERVER                                 ,L,
FICom                                   ,FSTILLSTAND                             ,L,
FICom                                   ,GPEDIT                                  ,L,
FICom                                   ,HEDIT                                   ,L,
FICom                                   ,JOURNAL                                 ,V,
FICom                                   ,KALKOBJ                                 ,V,
FICom                                   ,KSTEDIT                                 ,L,
FICom                                   ,MAEDIT                                  ,L,
FICom                                   ,MEEDIT                                  ,L,
FICom                                   ,MRPPURCHASE                             ,K,
FICom                                   ,MRPWORKORDER                            ,L,
FICom                                   ,MWBTTRANSFER                            ,L,
FICom                                   ,MWBUCHEN                                ,L,
FICom                                   ,MWCHARGE                                ,L,
FICom                                   ,MWEINGANG                               ,L,
FICom                                   ,MWINVENTUR                              ,L,
FICom                                   ,MWJOURNAL                               ,L,
FICom                                   ,MWRESERVATION                           ,L,
FICom                                   ,MWRETROGRAD                             ,L,
FICom                                   ,PANW                                    ,L,
FICom                                   ,PBASIS                                  ,L,
FICom                                   ,PEDIT                                   ,L,
FICom                                   ,PKAL                                    ,L,
FICom                                   ,POCKET                                  ,L,
FICom                                   ,PRAEMIE                                 ,L,
FICom                                   ,PRICEREV                                ,V,
FICom                                   ,PRJ                                     ,L,
FICom                                   ,PRJBASIS                                ,L,
FICom                                   ,PRJCATALOG                              ,L,
FICom                                   ,PRJTEMPLATE                             ,L,
FICom                                   ,PZAUSW                                  ,L,
FICom                                   ,QS-A                                    ,K,
FICom                                   ,QS-AE                                   ,K,
FICom                                   ,QS-PLAN                                 ,K,
FICom                                   ,QS-R                                    ,K,
FICom                                   ,QS-TEXTE                                ,K,
FICom                                   ,RECLAMATION                             ,L,
FICom                                   ,REPORTE                                 ,K,
FICom                                   ,REPORTINSERT                            ,K,
FICom                                   ,SOPTION                                 ,L,
FICom                                   ,SPRACHE                                 ,V,
FICom                                   ,SQL                                     ,K,
FICom                                   ,SYSARTGEN                               ,K,
FICom                                   ,SYSDEBUG                                ,K,
FICom                                   ,SYSFEDIT                                ,K,
FICom                                   ,SYSTEM                                  ,L,
FICom                                   ,TEMPLATE                                ,K,
FICom                                   ,TERMINAL                                ,V,
FICom                                   ,TIMETYPE                                ,V,
FICom                                   ,VERSCHN                                 ,L,
FICom                                   ,VORKALK                                 ,V,
FICom                                   ,WEB-ACCESS                              ,K,
FICom                                   ,WEBAPPS                                 ,K,
FICom                                   ,WKSEDIT                                 ,L,
FICom                                   ,WKZEDIT                                 ,L,
Robin                                   ,AGEDIT                                  ,K,
Robin                                   ,AGTYPEDIT                               ,K,
Robin                                   ,ANW                                     ,K,
Robin                                   ,APEDIT                                  ,K,
Robin                                   ,APS                                     ,K,
Robin                                   ,APSP                                    ,K,
Robin                                   ,ARTAPL                                  ,K,
Robin                                   ,ARTEDIT                                 ,K,
Robin                                   ,ARTSTL                                  ,K,
Robin                                   ,BAB                                     ,K,
Robin                                   ,BATCHKALK                               ,K,
Robin                                   ,BATCHKALKSTART                          ,K,
Robin                                   ,BATCHNKALK                              ,K,
Robin                                   ,BENUTZER                                ,V,
Robin                                   ,benzing                                 ,K,
Robin                                   ,benzinglog                              ,K,
Robin                                   ,BINBOOKING                              ,K,
Robin                                   ,BINRIGHT                                ,K,
Robin                                   ,CAFT                                    ,K,
Robin                                   ,CUSTFEDIT                               ,K,
Robin                                   ,DBTEST                                  ,K,
Robin                                   ,EFUNK                                   ,K,
Robin                                   ,FAABG                                   ,K,
Robin                                   ,FAANSICHT                               ,K,
Robin                                   ,FAAPL                                   ,K,
Robin                                   ,FAEDIT                                  ,K,
Robin                                   ,FARUECK                                 ,K,
Robin                                   ,FASTL                                   ,K,
Robin                                   ,FAUSSCHUSS                              ,K,
Robin                                   ,FAVERWALTEN                             ,K,
Robin                                   ,FAWECHSEL                               ,V,
Robin                                   ,FBESTV                                  ,K,
Robin                                   ,FCTYP                                   ,K,
Robin                                   ,FLISTE                                  ,K,
Robin                                   ,FMILESTONE                              ,K,
Robin                                   ,FNAKA                                   ,K,
Robin                                   ,FPOOL                                   ,K,
Robin                                   ,FPRIOR                                  ,K,
Robin                                   ,FRAUSB                                  ,K,
Robin                                   ,FRBEIST                                 ,K,
Robin                                   ,FRBEST                                  ,K,
Robin                                   ,FRWRG                                   ,K,
Robin                                   ,FSCHICHTPLAN                            ,K,
Robin                                   ,FSERVER                                 ,K,
Robin                                   ,FSTILLSTAND                             ,K,
Robin                                   ,GPEDIT                                  ,K,
Robin                                   ,HEDIT                                   ,K,
Robin                                   ,JOURNAL                                 ,K,
Robin                                   ,KALKOBJ                                 ,K,
Robin                                   ,KSTEDIT                                 ,K,
Robin                                   ,MAEDIT                                  ,K,
Robin                                   ,MEEDIT                                  ,K,
Robin                                   ,MRPPURCHASE                             ,K,
Robin                                   ,MRPWORKORDER                            ,K,
Robin                                   ,MWBTTRANSFER                            ,K,
Robin                                   ,MWBUCHEN                                ,K,
Robin                                   ,MWCHARGE                                ,K,
Robin                                   ,MWEINGANG                               ,K,
Robin                                   ,MWINVENTUR                              ,K,
Robin                                   ,MWJOURNAL                               ,K,
Robin                                   ,MWRESERVATION                           ,K,
Robin                                   ,MWRETROGRAD                             ,K,
Robin                                   ,PANW                                    ,K,
Robin                                   ,PBASIS                                  ,K,
Robin                                   ,PEDIT                                   ,K,
Robin                                   ,PKAL                                    ,K,
Robin                                   ,POCKET                                  ,K,
Robin                                   ,PRAEMIE                                 ,K,
Robin                                   ,PRICEREV                                ,K,
Robin                                   ,PRJ                                     ,K,
Robin                                   ,PRJBASIS                                ,K,
Robin                                   ,PRJCATALOG                              ,K,
Robin                                   ,PRJTEMPLATE                             ,K,
Robin                                   ,PZAUSW                                  ,K,
Robin                                   ,QS-A                                    ,K,
Robin                                   ,QS-AE                                   ,K,
Robin                                   ,QS-PLAN                                 ,K,
Robin                                   ,QS-R                                    ,K,
Robin                                   ,QS-TEXTE                                ,K,
Robin                                   ,RECLAMATION                             ,K,
Robin                                   ,REPORTE                                 ,K,
Robin                                   ,REPORTINSERT                            ,K,
Robin                                   ,SOPTION                                 ,K,
Robin                                   ,SPRACHE                                 ,K,
Robin                                   ,SQL                                     ,K,
Robin                                   ,SYSARTGEN                               ,K,
Robin                                   ,SYSDEBUG                                ,K,
Robin                                   ,SYSFEDIT                                ,K,
Robin                                   ,SYSTEM                                  ,K,
Robin                                   ,TEMPLATE                                ,K,
Robin                                   ,TERMINAL                                ,K,
Robin                                   ,TIMETYPE                                ,K,
Robin                                   ,VERSCHN                                 ,K,
Robin                                   ,VORKALK                                 ,K,
Robin                                   ,WEB-ACCESS                              ,K,
Robin                                   ,WEBAPPS                                 ,K,
Robin                                   ,WKSEDIT                                 ,K,
Robin                                   ,WKZEDIT                                 ,K,
U113002                                 ,AGEDIT                                  ,L,
U113002                                 ,AGTYPEDIT                               ,L,
U113002                                 ,ANW                                     ,K,
U113002                                 ,APEDIT                                  ,V,
U113002                                 ,APS                                     ,L,
U113002                                 ,APSP                                    ,L,
U113002                                 ,ARTAPL                                  ,L,
U113002                                 ,ARTEDIT                                 ,L,
U113002                                 ,ARTSTL                                  ,L,
U113002                                 ,BAB                                     ,L,
U113002                                 ,BATCHKALK                               ,V,
U113002                                 ,BATCHKALKSTART                          ,V,
U113002                                 ,BATCHNKALK                              ,V,
U113002                                 ,BENUTZER                                ,K,
U113002                                 ,benzing                                 ,K,
U113002                                 ,benzinglog                              ,K,
U113002                                 ,BINBOOKING                              ,L,
U113002                                 ,BINRIGHT                                ,L,
U113002                                 ,CAFT                                    ,L,
U113002                                 ,CUSTFEDIT                               ,K,
U113002                                 ,DBTEST                                  ,K,
U113002                                 ,EFUNK                                   ,L,
U113002                                 ,FAABG                                   ,L,
U113002                                 ,FAANSICHT                               ,L,
U113002                                 ,FAAPL                                   ,L,
U113002                                 ,FAEDIT                                  ,L,
U113002                                 ,FARUECK                                 ,V,
U113002                                 ,FASTL                                   ,L,
U113002                                 ,FAUSSCHUSS                              ,L,
U113002                                 ,FAVERWALTEN                             ,L,
U113002                                 ,FAWECHSEL                               ,K,
U113002                                 ,FBESTV                                  ,L,
U113002                                 ,FCTYP                                   ,L,
U113002                                 ,FLISTE                                  ,L,
U113002                                 ,FMILESTONE                              ,L,
U113002                                 ,FNAKA                                   ,L,
U113002                                 ,FPOOL                                   ,L,
U113002                                 ,FPRIOR                                  ,L,
U113002                                 ,FRAUSB                                  ,L,
U113002                                 ,FRBEIST                                 ,L,
U113002                                 ,FRBEST                                  ,L,
U113002                                 ,FRWRG                                   ,L,
U113002                                 ,FSCHICHTPLAN                            ,L,
U113002                                 ,FSERVER                                 ,L,
U113002                                 ,FSTILLSTAND                             ,L,
U113002                                 ,GPEDIT                                  ,L,
U113002                                 ,HEDIT                                   ,L,
U113002                                 ,JOURNAL                                 ,L,
U113002                                 ,KALKOBJ                                 ,V,
U113002                                 ,KSTEDIT                                 ,L,
U113002                                 ,MAEDIT                                  ,L,
U113002                                 ,MEEDIT                                  ,L,
U113002                                 ,MRPPURCHASE                             ,L,
U113002                                 ,MRPWORKORDER                            ,L,
U113002                                 ,MWBTTRANSFER                            ,L,
U113002                                 ,MWBUCHEN                                ,L,
U113002                                 ,MWCHARGE                                ,L,
U113002                                 ,MWEINGANG                               ,L,
U113002                                 ,MWINVENTUR                              ,L,
U113002                                 ,MWJOURNAL                               ,L,
U113002                                 ,MWRESERVATION                           ,L,
U113002                                 ,MWRETROGRAD                             ,L,
U113002                                 ,PANW                                    ,L,
U113002                                 ,PBASIS                                  ,L,
U113002                                 ,PEDIT                                   ,L,
U113002                                 ,PKAL                                    ,L,
U113002                                 ,POCKET                                  ,L,
U113002                                 ,PRAEMIE                                 ,L,
U113002                                 ,PRICEREV                                ,V,
U113002                                 ,PRJ                                     ,L,
U113002                                 ,PRJBASIS                                ,L,
U113002                                 ,PRJCATALOG                              ,L,
U113002                                 ,PRJTEMPLATE                             ,L,
U113002                                 ,PZAUSW                                  ,L,
U113002                                 ,QS-A                                    ,L,
U113002                                 ,QS-AE                                   ,L,
U113002                                 ,QS-PLAN                                 ,L,
U113002                                 ,QS-R                                    ,L,
U113002                                 ,QS-TEXTE                                ,L,
U113002                                 ,RECLAMATION                             ,L,
U113002                                 ,REPORTE                                 ,K,
U113002                                 ,REPORTINSERT                            ,K,
U113002                                 ,SOPTION                                 ,K,
U113002                                 ,SPRACHE                                 ,K,
U113002                                 ,SQL                                     ,K,
U113002                                 ,SYSARTGEN                               ,K,
U113002                                 ,SYSDEBUG                                ,K,
U113002                                 ,SYSFEDIT                                ,K,
U113002                                 ,SYSTEM                                  ,K,
U113002                                 ,TEMPLATE                                ,K,
U113002                                 ,TERMINAL                                ,L,
U113002                                 ,TIMETYPE                                ,V,
U113002                                 ,VERSCHN                                 ,L,
U113002                                 ,VORKALK                                 ,V,
U113002                                 ,WEB-ACCESS                              ,K,
U113002                                 ,WEBAPPS                                 ,K,
U113002                                 ,WKSEDIT                                 ,L,
U113002                                 ,WKZEDIT                                 ,L,
U213001                                 ,AGEDIT                                  ,L,
U213001                                 ,AGTYPEDIT                               ,L,
U213001                                 ,ANW                                     ,K,
U213001                                 ,APEDIT                                  ,V,
U213001                                 ,APS                                     ,L,
U213001                                 ,APSP                                    ,L,
U213001                                 ,ARTAPL                                  ,L,
U213001                                 ,ARTEDIT                                 ,L,
U213001                                 ,ARTSTL                                  ,L,
U213001                                 ,BAB                                     ,L,
U213001                                 ,BATCHKALK                               ,V,
U213001                                 ,BATCHKALKSTART                          ,V,
U213001                                 ,BATCHNKALK                              ,V,
U213001                                 ,BENUTZER                                ,K,
U213001                                 ,benzing                                 ,K,
U213001                                 ,benzinglog                              ,K,
U213001                                 ,BINBOOKING                              ,L,
U213001                                 ,BINRIGHT                                ,L,
U213001                                 ,CAFT                                    ,L,
U213001                                 ,CUSTFEDIT                               ,K,
U213001                                 ,DBTEST                                  ,K,
U213001                                 ,EFUNK                                   ,L,
U213001                                 ,FAABG                                   ,L,
U213001                                 ,FAANSICHT                               ,L,
U213001                                 ,FAAPL                                   ,L,
U213001                                 ,FAEDIT                                  ,L,
U213001                                 ,FARUECK                                 ,V,
U213001                                 ,FASTL                                   ,L,
U213001                                 ,FAUSSCHUSS                              ,L,
U213001                                 ,FAVERWALTEN                             ,L,
U213001                                 ,FAWECHSEL                               ,K,
U213001                                 ,FBESTV                                  ,L,
U213001                                 ,FCTYP                                   ,L,
U213001                                 ,FLISTE                                  ,L,
U213001                                 ,FMILESTONE                              ,L,
U213001                                 ,FNAKA                                   ,L,
U213001                                 ,FPOOL                                   ,L,
U213001                                 ,FPRIOR                                  ,L,
